City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
518,Besancon,47.2488,6.0182,60.17,100,99,2.93,FR,overcast clouds,2021-06-06 03:18:34
519,Riyadh,24.6877,46.7219,89.74,10,0,9.84,SA,clear sky,2021-06-06 03:18:34
520,Tahta,26.7693,31.5021,70.54,52,0,14.25,EG,clear sky,2021-06-06 03:14:33
521,Srednekolymsk,67.45,153.6833,71.31,27,14,21.94,RU,few clouds,2021-06-06 03:18:34
522,Balabac,7.9868,117.0645,84.87,71,100,4.41,PH,overcast clouds,2021-06-06 03:13:57
523,Huarmey,-10.0681,-78.1522,64.8,85,35,8.52,PE,scattered clouds,2021-06-06 03:10:22
524,Novikovo,51.1537,37.8879,54.48,97,96,5.75,RU,overcast clouds,2021-06-06 03:16:14
525,Biak,-0.9131,122.8766,82.87,69,33,8.97,ID,scattered clouds,2021-06-06 03:15:24
526,Mirabad,30.4362,61.8383,93.54,15,0,13.87,AF,clear sky,2021-06-06 03:18:35
527,Bage,-31.3314,-54.1069,57.81,100,90,5.75,BR,overcast clouds,2021-06-06 03:18:35
528,Port Shepstone,-30.7414,30.455,56.32,68,36,7.2,ZA,scattered clouds,2021-06-06 03:18:35
529,Tupelo,34.2576,-88.7034,73.69,87,40,0.0,US,scattered clouds,2021-06-06 03:18:36
530,Lethem,3.3803,-59.7968,74.95,90,9,5.99,GY,clear sky,2021-06-06 03:18:36
531,Springdale,36.1867,-94.1288,70.03,90,75,5.01,US,broken clouds,2021-06-06 03:14:21
532,Melilla,35.2937,-2.9383,62.8,94,0,4.61,ES,clear sky,2021-06-06 03:18:36
533,Waipawa,-41.4122,175.5153,60.03,78,100,3.29,NZ,overcast clouds,2021-06-06 03:18:36
534,Salisbury,51.0693,-1.7957,59.41,93,90,3.29,GB,mist,2021-06-06 03:13:56
535,Zhaodong,46.0833,125.9833,66.22,54,71,6.8,CN,broken clouds,2021-06-06 03:18:37
536,Tchollire,8.4022,14.1698,75.92,65,95,3.0,CM,overcast clouds,2021-06-06 03:18:37
537,Jadu,31.953,12.0261,67.75,31,19,13.98,LY,few clouds,2021-06-06 03:18:37
538,Ketchikan,55.3422,-131.6461,48.67,93,90,14.97,US,moderate rain,2021-06-06 03:16:25
539,Tongliao,43.6125,122.2653,73.49,36,32,8.14,CN,scattered clouds,2021-06-06 03:18:38
540,Sadovoye,47.7764,44.5089,60.12,78,55,7.16,RU,broken clouds,2021-06-06 03:18:38
541,Mangan,27.5167,88.5333,78.94,81,85,2.98,IN,overcast clouds,2021-06-06 03:18:38
542,Bilibino,68.0546,166.4372,71.78,26,59,10.02,RU,broken clouds,2021-06-06 03:14:05
