City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description,Date
144,Chokurdakh,70.6333,147.9167,34.36,90,100,8.01,RU,light rain,2021-06-06 15:44:59
145,Saiha,22.4833,92.9667,70.81,99,99,1.45,IN,overcast clouds,2021-06-06 15:46:41
146,Tuktoyaktuk,69.4541,-133.0374,32.0,74,90,10.36,CA,overcast clouds,2021-06-06 15:46:41
147,Montepuez,-13.1256,38.9997,68.11,57,39,7.47,MZ,scattered clouds,2021-06-06 15:46:42
148,Nakhon Nayok,14.1667,101.1,87.78,76,100,0.45,TH,overcast clouds,2021-06-06 15:46:42
149,Atherton,53.5237,-2.4935,70.29,55,81,3.0,GB,broken clouds,2021-06-06 15:46:42
150,Paciran,-6.8767,112.3761,80.31,81,54,4.85,ID,broken clouds,2021-06-06 15:46:43
151,Auki,-8.7676,160.7034,77.05,86,3,3.4,SB,clear sky,2021-06-06 15:46:43
152,Aklavik,68.2191,-135.0107,33.8,80,40,6.91,CA,scattered clouds,2021-06-06 15:46:43
153,Kavaratti,10.5669,72.642,82.85,74,100,9.91,IN,overcast clouds,2021-06-06 15:46:43
154,Preobrazheniye,42.9019,133.9064,54.14,80,0,6.98,RU,clear sky,2021-06-06 15:46:44
155,Trairi,-3.2778,-39.2689,88.14,53,45,10.27,BR,scattered clouds,2021-06-06 15:45:27
156,Tautira,-17.7333,-149.15,75.22,75,7,13.33,PF,clear sky,2021-06-06 15:44:17
157,Lebu,-37.6167,-73.65,50.34,70,100,1.34,CL,overcast clouds,2021-06-06 15:46:44
158,Sunrise Manor,36.2111,-115.0731,95.23,15,1,10.36,US,clear sky,2021-06-06 15:46:44
159,Kaitangata,-46.2817,169.8464,44.2,85,73,2.04,NZ,broken clouds,2021-06-06 15:46:44
160,Flin Flon,54.7682,-101.865,62.44,77,40,6.62,CA,scattered clouds,2021-06-06 15:45:14
161,Mahebourg,-20.4081,57.7,74.25,88,40,6.91,MU,scattered clouds,2021-06-06 15:46:45
162,Doha,25.2867,51.5333,100.71,82,0,5.75,QA,haze,2021-06-06 15:46:45
163,Champerico,14.3,-91.9167,90.77,72,96,0.45,GT,overcast clouds,2021-06-06 15:46:45
164,Fairbanks,64.8378,-147.7164,55.92,68,20,3.44,US,few clouds,2021-06-06 15:46:45
165,Kang,-23.6752,22.7876,55.74,40,0,8.19,BW,clear sky,2021-06-06 15:46:46
166,Oistins,13.0667,-59.5333,87.89,55,40,20.71,BB,scattered clouds,2021-06-06 15:46:46
167,Cayenne,4.9333,-52.3333,86.04,80,75,3.0,GF,broken clouds,2021-06-06 15:43:31
168,Belmonte,-15.8631,-38.8828,82.4,65,36,8.72,BR,scattered clouds,2021-06-06 15:46:46
169,Barcelos,41.5388,-8.6151,85.28,49,60,9.71,PT,broken clouds,2021-06-06 15:46:46
170,Veraval,20.9,70.3667,85.41,71,6,13.09,IN,clear sky,2021-06-06 15:46:47
171,Geraldton,-28.7667,114.6,55.13,87,97,11.23,AU,overcast clouds,2021-06-06 15:45:57
172,Solnechnyy,50.7214,136.6319,47.34,99,68,3.65,RU,broken clouds,2021-06-06 15:46:47
173,Kayseri,38.737,35.4968,69.82,30,20,5.75,TR,few clouds,2021-06-06 15:46:47
174,Neepawa,50.2289,-99.4664,66.6,84,100,21.16,CA,overcast clouds,2021-06-06 15:46:47
175,Cascais,38.6979,-9.4215,76.62,54,20,8.01,PT,few clouds,2021-06-06 15:46:48
176,Lorengau,-2.0226,147.2712,79.41,85,98,12.44,PG,overcast clouds,2021-06-06 15:46:48
177,Manzhouli,49.6,117.4333,61.86,38,0,5.1,CN,clear sky,2021-06-06 15:46:48
178,Celestun,20.8667,-90.4,88.11,59,56,5.97,MX,broken clouds,2021-06-06 15:46:48
179,Dezful,32.3811,48.4058,104.23,6,0,16.06,IR,clear sky,2021-06-06 15:46:49
180,Villa De San Francisco,14.1667,-86.9667,78.28,41,98,4.43,HN,overcast clouds,2021-06-06 15:46:49
181,Wilson,36.1501,-86.2833,78.19,89,90,8.05,US,overcast clouds,2021-06-06 15:46:49
182,Varca,15.2167,73.9167,82.4,83,40,2.06,IN,scattered clouds,2021-06-06 15:46:49
183,Shanhetun,44.7,127.2,52.32,91,6,3.94,CN,clear sky,2021-06-06 15:46:50
184,Maniago,46.1706,12.7078,72.93,88,92,2.35,IT,overcast clouds,2021-06-06 15:46:50
185,Ponta Do Sol,32.6667,-17.1,74.71,67,0,2.57,PT,clear sky,2021-06-06 15:46:50
186,Luderitz,-26.6481,15.1594,66.74,42,0,2.04,NA,clear sky,2021-06-06 15:43:18
187,Alofi,-19.0595,-169.9187,62.49,100,90,1.14,NU,overcast clouds,2021-06-06 15:46:50
188,Brunswick,41.2381,-81.8418,83.97,56,1,3.0,US,clear sky,2021-06-06 15:44:40
189,Vientiane,17.9667,102.6,73.9,99,100,2.51,LA,light rain,2021-06-06 15:46:51
190,Talaya,61.3833,152.75,39.6,88,27,7.76,RU,scattered clouds,2021-06-06 15:46:51
191,Khandyga,62.6667,135.6,53.15,50,100,2.1,RU,overcast clouds,2021-06-06 15:46:51
192,Bambous Virieux,-20.3428,57.7575,74.21,88,40,9.86,MU,scattered clouds,2021-06-06 15:46:51
193,Lingao,19.9103,109.6859,81.45,75,34,3.22,CN,scattered clouds,2021-06-06 15:46:52
194,Vitim,59.4511,112.5578,47.79,90,100,9.91,RU,overcast clouds,2021-06-06 15:46:52
195,Cayeli,41.0923,40.7292,62.24,81,40,1.88,TR,scattered clouds,2021-06-06 15:46:52
196,Tigil,57.8,158.6667,42.46,86,84,6.24,RU,broken clouds,2021-06-06 15:46:52
197,Gurupi,-11.7292,-49.0686,90.57,31,100,10.42,BR,overcast clouds,2021-06-06 15:46:19
198,Dawlatabad,36.4141,64.9053,96.51,14,0,9.17,AF,clear sky,2021-06-06 15:46:53
199,Ilulissat,69.2167,-51.1,39.22,87,61,5.75,GL,broken clouds,2021-06-06 15:46:53
200,Honningsvag,70.9821,25.9704,40.53,71,6,3.6,NO,clear sky,2021-06-06 15:46:53
201,Portland,45.5234,-122.6762,53.2,82,90,1.01,US,overcast clouds,2021-06-06 15:43:09
202,Kodinsk,58.6881,99.1844,42.82,56,58,0.49,RU,broken clouds,2021-06-06 15:46:53
203,Maamba,-17.3667,27.15,60.3,51,54,3.56,ZM,broken clouds,2021-06-06 15:46:54
204,Terrace,54.5163,-128.6035,48.42,93,90,2.3,CA,light rain,2021-06-06 15:45:35
